"name","price","description","short description"
"Builds muscle, helps to raise growth hormone.",65.00,"",""
"5-MTHF 5mg - Thorne",60.50,"The most bioavailable, active form of folate; provides an excellent source of folate for pregnant women, supports optimal cardiovascular and nerve function.",""
"Ascorbic Acid One Gram - Thorne",37.40,"Supports immune system; promotes connective tissue formation",""
"Als Formula 240ct - Thorne  ",59.10,"A comprehensive vitamin-mineral supplement for men over 40",""
"Amazing Grass Raw Reserve Green Food",39.00,"",""
"AllerGzyme - DFH",25.00,"Assists in digestion of difficult-to-breakdown proteins such as gluten, gliadin and casein from whey and dairy, as well as soy and rice",""
"Allicillin Caps - DFH",28.00,"Strong garlic supplement provides protection against many types of pathogens.",""
"Allicillin Liquid - DFH",35.00,"Strong garlic supplement provides protection against many types of pathogens.",""
"Appestacin 60ct - Thorne",49.90,"Helps control appetite.  Enhances energy and mood.  Increases thermogenesis for fat burning.  Contains caffeine.",""
"AR-Encap - Thorne",48.20,"Provides comprehensive joint support.",""
"ArthroSoothe 120ct  - DFH",38.00,"ArthroSoothe™ offers ideal nutritional support for joints, providing them with the nutrition they need to rid fluid that results in swelling, repair, stay lubricated, move freely, and function at their best.",""
"Bacillus Coagulans 60ct - Thorne",20.50,"Supports digestive and immune health.  Enhances balance of good bacteria in the gut.",""
"Bacopa - Thorne",10.60,"A neuroprotective and has been shown to support memory and learning.",""
"Bio B12 - Thorne",16.25,"Essential for red blood cell formation, energy, tissue repair and DNA synthesis.",""
"Basic B Complex 60ct - Thorne",18.40,"Promotes cellular energy production, to healthy red-blood-cell formation, to healthy neurological function.",""
"B Complex #12 60ct  - Thorne",13.25,"Supports cardiovascular health. Promotes red blood cell formation, cellular health, boosts metabolism and mental accuity. ",""
"B Complex #5 - Thorne",12.00,"Powerful B Vitamin combination supports cellular energy production, to healthy red-blood-cell formation, to healthy neurological function.",""
"B-Complex #6 60ct - Thorne",16.75,"B-complex support with extra pyridoxine and pyridoxal 5'-phosphate.",""
"Basic Detox Nutrients - Thorne",85.70,"Comprehensive multiple vitamin-mineral with additional nutrients to aid in detoxification",""
"BerberCap 200mg 60ct - Thorne",23.10,"Promotes healthy respiratory mucus membranes; helps maintain a healthy immune response and the body's normal intestinal flora.",""
"BioGest 180ct - Thorne",39.80,"Enzymes and betaine HCL to use for improved digestion and overall health.",""
"Betaine HCl + Pepsin 225ct - Thorne",27.40,"Digestive support especially for protein digestion and immune health.",""
"Biotin-8 60ct - Thorne",23.10,"Helps maintain already normal blood sugar levels, promotes health nerve function, skin and hair.",""
